date,consumption
2018-01-01,103.31111375
2018-01-02,138.79558304166667
2018-01-03,123.858912
2018-01-04,133.034709
2018-01-05,162.7778000416667
2018-01-06,160.85141233333334
2018-01-07,152.346251375
2018-01-08,185.2089085
2018-01-09,182.02566233333332
2018-01-10,159.0891059583333
2018-01-11,156.31149054166667
2018-01-12,152.84540295833332
2018-01-13,125.62629979166668
2018-01-14,110.91021729166664
2018-01-15,142.56981575
2018-01-16,125.416088
2018-01-17,151.29787729166665
2018-01-18,152.62542075000002
2018-01-19,143.56271095833333
2018-01-20,119.429644625
2018-01-21,106.05186633333334
2018-01-22,137.66452683333333
2018-01-23,140.951982125
2018-01-24,137.14283833333334
2018-01-25,137.67189066666666
2018-01-26,133.11655570833332
2018-01-27,120.758016125
2018-01-28,111.52250004166666
2018-01-29,143.69718141666667
2018-01-30,135.285586625
2018-01-31,137.90542808333333
2018-02-01,138.34650370833333
2018-02-02,124.159733125
2018-02-03,90.88151495833334
2018-02-04,77.14483120833333
2018-02-05,112.48468554166668
2018-02-06,111.81658679166668
2018-02-07,119.72041554166668
2018-02-08,122.72068816666666
2018-02-09,120.03284266666668
2018-02-10,103.01365433333332
2018-02-11,101.02518279166668
2018-02-12,132.720546125
2018-02-13,131.82737729166666
2018-02-14,121.38992154166664
2018-02-15,122.06283154166668
2018-02-16,128.895496375
2018-02-17,98.22103266666666
2018-02-18,90.15669795833333
2018-02-19,122.11434675
2018-02-20,128.9867475
2018-02-21,137.48685508333332
2018-02-22,133.004621375
2018-02-23,122.880874375
2018-02-24,114.40840770833334
2018-02-25,105.12655
2018-02-26,136.59517883333334
2018-02-27,122.79765504166666
2018-02-28,130.5100235
2018-03-01,142.52852895833334
2018-03-02,151.56830933333333
2018-03-03,126.12062316666668
2018-03-04,95.59953595833332
2018-03-05,146.0883404583333
2018-03-06,153.4181855
2018-03-07,143.1866809166667
2018-03-08,137.03862358333333
2018-03-09,141.99230829166666
2018-03-10,117.177834
2018-03-11,114.51987520833336
2018-03-12,154.96087708333334
2018-03-13,162.35203266666664
2018-03-14,151.8409735
2018-03-15,168.74480379166667
2018-03-16,165.14368991666666
2018-03-17,139.26681070833334
2018-03-18,133.6128065
2018-03-19,167.64988991666667
2018-03-20,174.71489454166667
2018-03-21,175.03034691666667
2018-03-22,165.30342583333334
2018-03-23,164.08240429166668
2018-03-24,150.60596320833335
2018-03-25,141.283530625
2018-03-26,170.25156512499998
2018-03-27,182.17038129166667
2018-03-28,173.3889547916667
2018-03-29,157.84565154166668
2018-03-30,122.74754645833332
2018-03-31,128.66003245833335
2018-04-01,127.64238166666668
2018-04-02,119.68918045833334
2018-04-03,102.29388983333332
2018-04-04,168.35341808333334
2018-04-05,168.60891645833334
2018-04-06,168.02160104166668
2018-04-07,145.50462708333333
2018-04-08,141.05921991666665
2018-04-09,168.74175895833335
2018-04-10,168.267434625
2018-04-11,166.28190279166668
2018-04-12,170.6112195652174
2018-04-13,190.289082
2018-04-14,151.51334675
2018-04-15,142.36618933333332
2018-04-16,180.97335741666663
2018-04-17,185.93129066666663
2018-04-18,185.26481216666664
2018-04-19,181.03610633333332
2018-04-20,181.25099820833336
2018-04-21,154.63155754166667
2018-04-22,122.948163625
2018-04-23,180.898570875
2018-04-24,176.09468037500002
2018-04-25,179.6095241666667
2018-04-26,175.18626270833332
2018-04-27,178.0038805
2018-04-28,163.35087441666667
2018-04-29,138.93410729166666
2018-04-30,167.21727733333333
2018-05-01,143.72596654166668
2018-05-02,175.22360154166665
2018-05-03,183.3373659583333
2018-05-04,188.1910997916667
2018-05-05,161.78586433333334
2018-05-06,155.63411254166667
2018-05-07,181.9615044583333
2018-05-08,184.5682905
2018-05-09,189.76986466666668
2018-05-10,182.18372691666664
2018-05-11,187.33593975
2018-05-12,163.17419437499998
2018-05-13,126.346211625
2018-05-14,191.650027125
2018-05-15,201.061329625
2018-05-16,199.08978275
2018-05-17,184.31563925
2018-05-18,190.02968825
2018-05-19,169.84300016666666
2018-05-20,154.96961762499998
2018-05-21,150.92955079166666
2018-05-22,185.74105866666665
2018-05-23,187.65470866666664
2018-05-24,186.700872375
2018-05-25,183.126431625
2018-05-26,156.20313241666668
2018-05-27,156.49906358333334
2018-05-28,198.10266004166667
2018-05-29,208.41772733333332
2018-05-30,210.04617525
2018-05-31,211.46881700000003
2018-06-01,222.36789975
2018-06-02,188.2434432916667
2018-06-03,176.56220162500003
2018-06-04,228.6082974583333
2018-06-05,232.610279625
2018-06-06,210.05193179166668
2018-06-07,201.5860631666667
2018-06-08,188.49128441666667
2018-06-09,176.49634004166668
2018-06-10,180.48729554166667
2018-06-11,222.29945941666665
2018-06-12,235.555316125
2018-06-13,232.33540654166663
2018-06-14,222.8635522083333
2018-06-15,210.37967304166668
2018-06-16,174.257756125
2018-06-17,149.57851445833333
2018-06-18,178.31490304166667
2018-06-19,189.56658254166663
2018-06-20,194.49313895833333
2018-06-21,202.867825625
2018-06-22,201.891077
2018-06-23,186.5454015
2018-06-24,171.63911366666665
2018-06-25,206.6467639583333
2018-06-26,207.51682420833333
2018-06-27,208.60643341666665
2018-06-28,226.94133983333333
2018-06-29,228.20968254166667
2018-06-30,220.362706875
2018-07-01,206.33087270833332
2018-07-02,211.77914816666663
2018-07-03,235.672618625
2018-07-04,248.46401054166665
2018-07-05,249.84202041666663
2018-07-06,234.38248633333333
2018-07-07,208.098451375
2018-07-08,193.659638375
2018-07-09,219.74397425
2018-07-10,242.69563829166668
2018-07-11,231.309965375
2018-07-12,226.10757558333333
2018-07-13,210.2883002083333
2018-07-14,180.08765766666667
2018-07-15,171.412571
2018-07-16,191.8273118333333
2018-07-17,228.0926435
2018-07-18,227.88031045833333
2018-07-19,229.218041375
2018-07-20,230.0668533333333
2018-07-21,209.6650777083333
2018-07-22,196.1944310833333
2018-07-23,233.58453941666667
2018-07-24,223.2420859583333
